username,display_name,description,followers_count,following_count,predicted_class,confidence_level,confidence_band,prob_0,prob_1,prob_2,uncertainty_score,manual_label,sampling_note
alihgh1393,"Z,Z,A,R_H,C,H,",رهرو استاد ارژنگ داوودی،مردی که مقابل آزادی ایران و ایرانی ایستادگی کرد و سر خم نکرد.امید است با زحماتی که کشید تلاش کنیم هر ایرانی وطن پرست یک ارژنگ باشد.,74.0,153.0,1,0.6106016394568125,0.60-0.70,0.3893983605431875,0.6106016394568125,,0.3893983605431875,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
aliazarids,Ali Azari,,7.0,66.0,1,0.622653647010117,0.60-0.70,0.3773463529898829,0.622653647010117,,0.3773463529898829,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
5x2i530x3rcidcw,GailNewton,,123.0,3449.0,1,0.6724133256139304,0.60-0.70,0.3275866743860696,0.6724133256139304,,0.3275866743860696,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
afroninfa,alli,,1686.0,1027.0,1,0.615051782872494,0.60-0.70,0.384948217127506,0.615051782872494,,0.384948217127506,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
ajik38933950,Ajik,palestine free is a must !!!,6.0,145.0,0,0.6296889444571994,0.60-0.70,0.6296889444571994,0.3703110555428006,,0.3703110555428006,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
akguitarman49,john kelly,"This is my music page, guitar and guitar shit related... more or less insane...... than my original profile  @johnkelly720 ......",9.0,349.0,1,0.6077035230363292,0.60-0.70,0.3922964769636707,0.6077035230363292,,0.3922964769636707,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
aghachurchill,AghaChurchill | The Anti-Left,"Fighting Marxist-Islamist threats to humanity, safety, and the entirety of human  life!",5167.0,990.0,1,0.6579926014564657,0.60-0.70,0.3420073985435343,0.6579926014564657,,0.3420073985435343,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
afarouk92,Ahmed Farouk,PhD candidate in Persian literature | Iran analyst | Focused on domestic affairs & foreign policy.,1844.0,718.0,1,0.6983217635442243,0.60-0.70,0.3016782364557757,0.6983217635442243,,0.3016782364557757,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
al_ardwi,عبــــاس العـــرداوي,عضو نقابة الصحفيين العراقيين *مستشار اعلامي * كل ما أطرحه من آراء هي تعبر وجهة نظر شخصية مبنية على ما اعتقد به من جهاد التبيين امام حالة الجهل والتضليل .,,2085.0,1,0.6503289636359824,0.60-0.70,0.3496710363640176,0.6503289636359824,,0.3496710363640176,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
18thcent_kitty,Kitty Pridden,"I live in a glorious Georgian bubble, masquerades, coffee houses, highwaymen, rakes, taffeta & Tyburn, decadence & debauchery! Creator of #FridayNightFrills",,988.0,1,0.6730204078711673,0.60-0.70,0.3269795921288326,0.6730204078711673,,0.3269795921288326,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
akhavan_mina,Mina Akhavan,,0.0,6.0,0,0.6113425108904731,0.60-0.70,0.6113425108904731,0.3886574891095269,,0.3886574891095269,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
alivesali,AliV5,آنک منم پا بر صلیب باژگون نهاده، با قامتی به بلندی فریاد.  «متاهل»,654.0,1163.0,1,0.6884996647457087,0.60-0.70,0.3115003352542913,0.6884996647457087,,0.3115003352542913,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
abfarideh,#WeStand4FreeIran #رای_من_سرنگونی abfarideh,"Iranian human rights activist, in support of a Regime change in Iran.",3017.0,2335.0,1,0.6186549745383784,0.60-0.70,0.3813450254616216,0.6186549745383784,,0.3813450254616216,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
aam653073,Amit Mishra,,2.0,2113.0,1,0.6563091180719254,0.60-0.70,0.3436908819280746,0.6563091180719254,,0.3436908819280746,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
677krzych,Wojtek,,146.0,807.0,1,0.6074974669691556,0.60-0.70,0.3925025330308443,0.6074974669691556,,0.3925025330308443,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
4xasw2m9126jd,VernaAckermann,,47.0,2056.0,1,0.6512861616626566,0.60-0.70,0.3487138383373434,0.6512861616626566,,0.3487138383373434,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
abasiabbassi,Shahram Abbassi,استاد سابق دانشگاه فردوسی# استاد مدعو در دانشگاه وسترن کانادا,516.0,369.0,1,0.6523300794837376,0.60-0.70,0.3476699205162624,0.6523300794837376,,0.3476699205162624,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
abediyazda45296,yazdan Abedi,,0.0,3.0,0,0.6367761626022392,0.60-0.70,0.6367761626022392,0.3632238373977608,,0.3632238373977607,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
alirezaysf00,Alireza Yosofi,,1.0,16.0,1,0.6043998743870219,0.60-0.70,0.3956001256129781,0.6043998743870219,,0.3956001256129781,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
ajdemarang,Ajdemarang 🇮🇷 اژدمارنگ,دانشمند، پژوهشگر، روشنفکر، کارآفرین و تحلیلگر امور آسمان‌ها و زمین ساده‌ای بیش نیستم.,,1139.0,1,0.6530426712169387,0.60-0.70,0.3469573287830613,0.6530426712169387,,0.3469573287830613,,iteration_5_person_vs_organization_confidence_band=0.60-0.70
